,Job Title,Company Name,Salary Estimate,Job Position,Job Acedemic Requiremnt,Job Week Cutom Font,Job Time Cutom Font,Company Field,Company Size
0,数据科学家实习生实习招聘-千居智实习生招聘-实习僧," 
                        千居智
                         “”",250-400/天,上海,本科,4天／周,实习6个月,互联网/游戏/软件,少于15
1,数据分析实习招聘-千阶投资实习生招聘-实习僧," 
                        千阶投资
                         “”",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
2,数据分析实习招聘-梵晖投资实习生招聘-实习僧," 
                        梵晖投资
                         “”",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
3,数据分析实习招聘-诚丝投资实习生招聘-实习僧," 
                        诚丝投资
                         “”",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
4,数据分析实习招聘-车圈集团实习生招聘-实习僧," 
                        车圈集团
                         “”",100-200/天,济南,不限,5天／周,实习3个月,互联网/游戏/软件,150-500
5,数据分析实习招聘-易达出行实习生招聘-实习僧," 
                        易达出行
                         “”",100-200/天,全国,不限,5天／周,实习3个月,互联网/游戏/软件,150-500
6,数据分析实习生实习招聘-博世中国实习生招聘-实习僧," 
                        博世中国
                         “”",150-180/天,苏州,不限,5天／周,实习3个月,汽车/机械/制造,2000以上
7,数据分析实习生YY实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                         “”",120-150/天,广州,不限,4天／周,实习4个月,互联网/游戏/软件,500-2000
8,车辆运营数据分析实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                         “”",200/天,上海,不限,5天／周,实习3个月,汽车/机械/制造,2000以上
9,数据分析实习生实习招聘-阿宝说实习生招聘-实习僧," 
                        阿宝说
                         “”",200/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,15-50
10,数据分析实习招聘-用友集团实习生招聘-实习僧," 
                        用友集团
                         “”",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000
11,定价管理实习生（数据分析）实习招聘-延长壳牌实习生招聘-实习僧," 
                        延长壳牌
                         “”",100-120/天,广州,本科,4天／周,实习3个月,快消/百货/批发/零售,500-2000
12,数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                         “”",120-150/天,广州,本科,4天／周,实习5个月,互联网/游戏/软件,500-2000
13,数据分析实习生实习招聘-量子数能实习生招聘-实习僧," 
                        量子数能
                         “”",100-150/天,成都,本科,5天／周,实习6个月,互联网/游戏/软件,50-150
14,数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                         “”",120/天,广州,本科,4天／周,实习4个月,互联网/游戏/软件,500-2000
15,数据分析实习生（模型开发）实习招聘-睿智合创实习生招聘-实习僧," 
                        睿智合创
                         “”",150-200/天,北京,本科,5天／周,实习3个月,金融/经济/投资/财会,150-500
16,数据分析实习生实习招聘-唱吧实习生招聘-实习僧," 
                        唱吧
                         “”",150-180/天,北京,本科,5天／周,实习5个月,互联网/游戏/软件,500-2000
17,财务数据分析实习生实习招聘-美术宝实习生招聘-实习僧," 
                        美术宝
                         “”",150-180/天,北京,本科,5天／周,实习4个月,教育/培训,2000以上
18,数据分析实习生（风险策略部）-北京实习招聘-滴滴实习生招聘-实习僧," 
                        滴滴
                         “”",200-300/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
19,数据分析实习生实习招聘-感易智能实习生招聘-实习僧," 
                        感易智能
                         “”",200-300/天,南京,本科,4天／周,实习4个月,互联网/游戏/软件,15-50
20,数据分析实习生实习招聘-广汽租赁实习生招聘-实习僧," 
                        广汽租赁
                         “”",100-120/天,广州,本科,5天／周,实习3个月,金融/经济/投资/财会,150-500
21,数据分析实习生实习招聘-Evereden实习生招聘-实习僧," 
                        Evereden
                         “”",120-180/天,上海,本科,5天／周,实习3个月,快消/百货/批发/零售,50-150
22,数据分析实习生实习招聘-凯乘投资管理实习生招聘-实习僧," 
                        凯乘投资管理
                         “”",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,15-50
23,数据分析实习生实习招聘-龙腾咨询实习生招聘-实习僧," 
                        龙腾咨询
                         “”",100-150/天,上海,本科,5天／周,实习3个月,企业服务/咨询,50-150
24,数据分析实习生实习招聘-寅尚投资实习生招聘-实习僧," 
                        寅尚投资
                         “”",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
25,数据分析实习生实习招聘-格物钛实习生招聘-实习僧," 
                        格物钛
                         “”",250-300/天,上海,本科,5天／周,实习4个月,互联网/游戏/软件,50-150
26,数据分析实习生实习招聘-福建万商堂实习生招聘-实习僧," 
                        福建万商堂
                         “”",120-200/天,厦门,不限,5天／周,实习6个月,互联网/游戏/软件,15-50
27,数据分析实习生实习招聘-鲸觅互联网实习生招聘-实习僧," 
                        鲸觅互联网
                         “”",100-200/天,上海,硕士,5天／周,实习3个月,互联网/游戏/软件,50-150
28,数据分析实习生实习招聘-盈程投资实习生招聘-实习僧," 
                        盈程投资
                         “”",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
29,数据分析实习生实习招聘-TARGET SOCIAL实习生招聘-实习僧," 
                        TARGET SOCIAL
                         “”",150-180/天,上海,本科,5天／周,实习3个月,广告/传媒/公关/展览,150-500
30,数据分析实习生实习招聘-鸣齐资管实习生招聘-实习僧," 
                        鸣齐资管
                         “”",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,15-50
31,数据分析实习生实习招聘-闵金投资实习生招聘-实习僧," 
                        闵金投资
                         “”",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
32,数据分析岗（京东国际）实习招聘-京东实习生招聘-实习僧," 
                        京东
                         “”",180-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
33,数据分析岗实习招聘-顺注投资实习生招聘-实习僧," 
                        顺注投资
                         “”",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150
34,数据分析实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                         “”",200-250/天,上海,本科,4天／周,实习6个月,汽车/机械/制造,2000以上
35,数据分析实习生实习招聘-蓝标传媒实习生招聘-实习僧," 
                        蓝标传媒
                         “”",150/天,北京,本科,5天／周,实习3个月,广告/传媒/公关/展览,2000以上
36,数据分析实习生实习招聘-筑桥｜The Little Bridge实习生招聘-实习僧," 
                        筑桥｜The Little Bridge
                         “”",150-200/天,北京,本科,3天／周,实习3个月,互联网/游戏/软件,150-500
37,数据分析实习生实习招聘-TCL实习生招聘-实习僧," 
                        TCL
                         “”",120-150/天,深圳,不限,5天／周,实习3个月,电子/通信/硬件,2000以上
38,数据分析实习生实习招聘-江森自控实习生招聘-实习僧," 
                        江森自控
                         “”",100-150/天,大连,本科,4天／周,实习3个月,电子/通信/硬件,2000以上
39,数据分析实习生实习招聘-新浪微博实习生招聘-实习僧," 
                        新浪微博
                         “”",100-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
40,数据分析实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                         “”",200-250/天,上海,本科,4天／周,实习3个月,汽车/机械/制造,2000以上
41,数据分析实习生实习招聘-博世中国实习生招聘-实习僧," 
                        博世中国
                         “”",150-200/天,无锡,不限,5天／周,实习6个月,汽车/机械/制造,2000以上
42,数据分析实习生实习招聘-鼎程实习生招聘-实习僧," 
                        鼎程
                         “”",120-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,150-500
43,数据分析实习生实习招聘-CLPS实习生招聘-实习僧," 
                        CLPS
                         “”",250-300/天,上海,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000
44,数据分析实习生实习招聘-猎聘网实习生招聘-实习僧," 
                      猎聘网
                         “”",150-180/天,北京,硕士,5天／周,实习3个月,互联网/游戏/软件,2000以上
45,数据分析实习生实习招聘-小红书实习生招聘-实习僧," 
                        小红书
                         “”",150-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
46,亚马逊广告优化师-偏数据分析岗实习招聘-上海奥深实习生招聘-实习僧," 
                        上海奥深
                         “”",150-200/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,50-150
47,数据分析实习生实习招聘-新浪实习生招聘-实习僧," 
                        新浪
                         “”",100-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
48,数据分析实习生实习招聘-满帮实习生招聘-实习僧," 
                        满帮
                         “”",120-200/天,南京,本科,4天／周,实习4个月,交通/贸易/物流,2000以上
49,数据分析实习生实习招聘-经纬恒润实习生招聘-实习僧," 
                        经纬恒润
                         “”",120-200/天,天津,硕士,5天／周,实习3个月,电子/通信/硬件,2000以上
50,数据分析实习生实习招聘-同业云实习生招聘-实习僧," 
                        同业云
                         “”",200/天,上海,硕士,4天／周,实习6个月,互联网/游戏/软件,50-150
51,数据分析实习生实习招聘-OPPO实习生招聘-实习僧," 
                        OPPO
                         “”",150-200/天,深圳,本科,5天／周,实习6个月,电子/通信/硬件,2000以上
52,数据分析实习生实习招聘-洛凯科技实习生招聘-实习僧," 
                        洛凯科技
                         “”",100-200/天,武汉,本科,4天／周,实习3个月,互联网/游戏/软件,50-150
53,数据分析助理实习招聘-天正电气实习生招聘-实习僧," 
                        天正电气
                         “”",100-150/天,上海,不限,5天／周,实习3个月,汽车/机械/制造,2000以上
54,数据分析实习生实习招聘-号百信息实习生招聘-实习僧," 
                        号百信息
                         “”",150-200/天,上海,不限,5天／周,实习3个月,电子/通信/硬件,150-500
55,数据分析专员实习招聘-青木数字实习生招聘-实习僧," 
                        青木数字
                         “”",80-120/天,广州,不限,4天／周,实习3个月,互联网/游戏/软件,500-2000
56,数据分析（实习生）实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                         “”",120-150/天,北京,不限,5天／周,实习6个月,互联网/游戏/软件,2000以上
57,数据分析实习生实习招聘-哈啰出行实习生招聘-实习僧," 
                        哈啰出行
                         “”",200-250/天,上海,本科,5天／周,实习6个月,互联网/游戏/软件,2000以上
58,数据分析实习生实习招聘-猎聘网实习生招聘-实习僧," 
                      猎聘网
                         “”",120-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
59,数据分析实习生实习招聘-上海人工智能实验室实习生招聘-实习僧," 
                        上海人工智能实验室
                         “”",300-400/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,150-500
60,数据分析实习生实习招聘-光华创想实习生招聘-实习僧," 
                        光华创想
                         “”",面议,北京,不限,5天／周,实习3个月,广告/传媒/公关/展览,15-50
61,数据分析实习生实习招聘-萌想科技（实习僧）实习生招聘-实习僧," 
                      萌想科技（实习僧）
                         “”",100-120/天,成都,本科,5天／周,实习3个月,互联网/游戏/软件,150-500
62,数据分析实习生实习招聘-中科聚信实习生招聘-实习僧," 
                        中科聚信
                         “”",150-200/天,宁波,本科,5天／周,实习3个月,互联网/游戏/软件,50-150
63,数据分析实习生实习招聘-美团实习生招聘-实习僧," 
                        美团
                         “”",200-250/天,北京,不限,5天／周,实习3个月,互联网/游戏/软件,2000以上
64,数据分析实习生-经营分析部-成都实习招聘-滴滴实习生招聘-实习僧," 
                        滴滴
                         “”",200-300/天,成都,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
65,数据分析实习生实习招聘-毫末智行实习生招聘-实习僧," 
                        毫末智行
                         “”",250-300/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,150-500
66,数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                         “”",120-150/天,广州,本科,5天／周,实习4个月,互联网/游戏/软件,500-2000
67,数据分析实习生-LQ实习招聘-实习僧校招内推助手实习生招聘-实习僧," 
                        实习僧校招内推助手
                         “”",100-120/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,50-150
68,数据分析师（商业分析组）实习招聘-一面数据实习生招聘-实习僧," 
                        一面数据
                         “”",180-200/天,深圳,本科,5天／周,实习3个月,互联网/游戏/软件,150-500
69,采购实习生（数据分析）实习招聘-江森自控实习生招聘-实习僧," 
                        江森自控
                         “”",120-150/天,上海,本科,5天／周,实习3个月,电子/通信/硬件,2000以上
70,数据分析实习生实习招聘-蔚能实习生招聘-实习僧," 
                        蔚能
                         “”",150-200/天,武汉,本科,5天／周,实习3个月,汽车/机械/制造,50-150
71,中控实习生（数据分析）实习招聘-美团实习生招聘-实习僧," 
                        美团
                         “”",150-200/天,成都,本科,5天／周,实习6个月,互联网/游戏/软件,2000以上
72,数据分析实习生实习招聘-传声营销实习生招聘-实习僧," 
                        传声营销
                         “”",120-150/天,上海,本科,5天／周,实习2个月,广告/传媒/公关/展览,15-50
73,数据分析实习生实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                         “”",100-150/天,长沙,本科,5天／周,实习6个月,互联网/游戏/软件,2000以上
74,数据分析实习生实习招聘-麦当劳中国实习生招聘-实习僧," 
                        麦当劳中国
                         “”",150-200/天,上海,不限,5天／周,实习3个月,餐饮/酒店/旅游/娱乐,2000以上
75,数据分析实习生实习招聘-小米实习生招聘-实习僧," 
                        小米
                         “”",250-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
76,数据分析实习生实习招聘-喜马拉雅实习生招聘-实习僧," 
                        喜马拉雅
                         “”",150-300/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000
77,数据分析实习生实习招聘-众安保险实习生招聘-实习僧," 
                        众安保险
                         “”",200-300/天,上海,本科,4天／周,实习3个月,金融/经济/投资/财会,2000以上
78,数据分析实习生实习招聘-上海一嗨实习生招聘-实习僧," 
                        上海一嗨
                         “”",200-250/天,上海,本科,5天／周,实习8个月,互联网/游戏/软件,2000以上
79,数据分析岗实习生实习招聘-芒果TV实习生招聘-实习僧," 
                        芒果TV
                         “”",面议,长沙,不限,5天／周,实习3个月,互联网/游戏/软件,500-2000
80,数据分析/策略实习生实习招聘-盛世长城上海实习生招聘-实习僧," 
                        盛世长城上海
                         “”",100/天,上海,不限,5天／周,实习6个月,广告/传媒/公关/展览,150-500
81,数据分析实习生实习招聘-Early Data实习生招聘-实习僧," 
                        Early Data
                         “”",150-200/天,上海,本科,3天／周,实习6个月,互联网/游戏/软件,150-500
82,数据分析实习生实习招聘-赛博威实习生招聘-实习僧," 
                        赛博威
                         “”",100-150/天,广州,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000
83,数据分析实习生实习招聘-中康资讯实习生招聘-实习僧," 
                        中康资讯
                         “”",120-150/天,广州,不限,3天／周,实习3个月,企业服务/咨询,150-500
84,数据分析实习生 实习招聘-京东实习生招聘-实习僧," 
                        京东
                         “”",100-180/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
85,数据分析实习生实习招聘-司数科技实习生招聘-实习僧," 
                        司数科技
                         “”",120-150/天,广州,本科,4天／周,实习2个月,企业服务/咨询,15-50
86,数据分析实习生-济南实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                         “”",100-150/天,济南,本科,5天／周,实习8个月,互联网/游戏/软件,2000以上
87,数据分析实习生实习招聘-CLPS实习生招聘-实习僧," 
                        CLPS
                         “”",150-180/天,广州,本科,5天／周,实习4个月,互联网/游戏/软件,500-2000
88,数据分析实习生实习招聘-百保君实习生招聘-实习僧," 
                        百保君
                         “”",200-400/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,50-150
89,数据分析实习生实习招聘-LIU·JO UOMO实习生招聘-实习僧," 
                        LIU·JO UOMO
                         “”",150-200/天,上海,不限,5天／周,实习3个月,快消/百货/批发/零售,150-500
90,数据分析实习生实习招聘-云畅游戏实习生招聘-实习僧," 
                        云畅游戏
                         “”",180-250/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,150-500
91,数据分析实习生-网约车数据分析部（豪华车分析)-北京实习招聘-滴滴实习生招聘-实习僧," 
                        滴滴
                         “”",200-300/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
92,数据分析实习生实习招聘-用友集团实习生招聘-实习僧," 
                        用友集团
                         “”",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000
93,数据分析实习生实习招聘-安瑞信杰实习生招聘-实习僧," 
                        安瑞信杰
                         “”",120-200/天,上海,硕士,4天／周,实习4个月,广告/传媒/公关/展览,150-500
94,数据分析建模岗实习生实习招聘-陆金所实习生招聘-实习僧," 
                        陆金所
                         “”",120-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,500-2000
95,数据分析实习生实习招聘-京东实习生招聘-实习僧," 
                        京东
                         “”",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
96,数据分析实习生实习招聘-知乎实习生招聘-实习僧," 
                        知乎
                         “”",150-200/天,北京,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000
97,游戏数据分析实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                         “”",200-250/天,深圳,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
