Job Title,Company Name,Salary Estimate,Job Position,Job Acedemic Requiremnt,Job Week Cutom Font,Job Time Cutom Font,Company Field,Company Size,min_salary,max_salary,avg_salary,avg_salary(month),week_attendence,intern_time_length
数据分析实习招聘-梵晖投资实习生招聘-实习僧," 
                        梵晖投资
                          ",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,180,165.0,4950.0,5,3
数据分析实习招聘-千阶投资实习生招聘-实习僧," 
                        千阶投资
                          ",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,100,150,125.0,3750.0,5,3
数据分析实习招聘-诚丝投资实习生招聘-实习僧," 
                        诚丝投资
                          ",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,200,175.0,5250.0,5,3
数据分析实习招聘-车圈集团实习生招聘-实习僧," 
                        车圈集团
                          ",100-200/天,济南,不限,5天／周,实习3个月,互联网/游戏/软件,150-500,100,200,150.0,4500.0,5,3
数据分析实习招聘-易达出行实习生招聘-实习僧," 
                        易达出行
                          ",100-200/天,全国,不限,5天／周,实习3个月,互联网/游戏/软件,150-500,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-奇虎360实习生招聘-实习僧," 
                        奇虎360
                          ",150-180/天,广州,本科,4天／周,实习3个月,互联网/游戏/软件,more than 2000,150,180,165.0,4950.0,4,3
数据分析实习生实习招聘-中科聚信实习生招聘-实习僧," 
                        中科聚信
                          ",150-200/天,宁波,本科,5天／周,实习3个月,互联网/游戏/软件,50-150,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-同业云实习生招聘-实习僧," 
                        同业云
                          ",200/天,上海,硕士,4天／周,实习6个月,互联网/游戏/软件,50-150,200,200,200.0,6000.0,4,6
数据分析实习生实习招聘-感易智能实习生招聘-实习僧," 
                        感易智能
                          ",200-300/天,南京,本科,4天／周,实习4个月,互联网/游戏/软件,15-50,200,300,250.0,7500.0,4,4
数据分析实习招聘-用友集团实习生招聘-实习僧," 
                        用友集团
                          ",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-盈程投资实习生招聘-实习僧," 
                        盈程投资
                          ",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,100,150,125.0,3750.0,5,3
